#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-04-03T20:01:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ac3dc3b1b7c5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+AS/130/65&tab:{J/A+AS/130/65/lcb98cor}&key:source=J/A+AS/130/65/lcb98cor&HTTPPRM:&
#-source=J/A+AS/130/65/lcb98cor
#-order=I
#-out=Teff
#-out=logg
#-out=[Fe/H]
#-out=U-B
#-out=B-V
#-out=V-R
#-out=V-I
#-out=V-K
#-out=R-I
#-out=J-H
#-out=J-K
#-out=J-L
#

#RESOURCE=yCat_41300065
#Name: J/A+AS/130/65
#Title: A standard stellar library. II. (Lejeune+ 1998)
#Table	J_A_AS_130_65_lcb98cor:
#Name: J/A+AS/130/65/lcb98cor
#Title: All files lcb98*.cor: Synthetic colors from corrected Stellar Energy Distributions (SEDS)
#Column	Teff	(F6)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F6.2)	Surface gravity	[ucd=phys.gravity]
#Column	[Fe/H]	(F4.1)	Metallicity	[ucd=phys.abund.Fe]
#Column	U-B	(F7.3)	(U-B) colour (energy-weighted)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	B-V	(F7.3)	(B-V) colour (energy-weighted)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-R	(F7.3)	(V-R) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-I	(F7.3)	(V-I) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	V-K	(F7.3)	(V-K) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	R-I	(F7.3)	(R-I) colour (energy-weighted)	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	J-H	(F7.3)	(J-H) colour (energy-weighted)	[ucd=phot.color;em.IR.J;em.IR.H]
#Column	J-K	(F7.3)	(J-K) colour (energy-weighted)	[ucd=phot.color;em.IR.J;em.IR.K]
#Column	J-L	(F7.3)	(J-L) colour (energy-weighted)	[ucd=phot.color;em.opt.R;em.opt.I]
Teff;logg;[Fe/H];U-B;B-V;V-R;V-I;V-K;R-I;J-H;J-K;J-L
  5250;  4.00;-0.3;  0.308;  0.781;  0.430;  0.831;  1.946;  0.401;  0.454;  0.533;  0.601
  5250;  4.50;-0.3;  0.327;  0.779;  0.434;  0.834;  1.953;  0.400;  0.458;  0.536;  0.601
  5250;  5.00;-0.3;  0.358;  0.779;  0.440;  0.841;  1.960;  0.401;  0.461;  0.538;  0.601
  5500;  0.00;-0.3;  0.449;  0.737;  0.400;  0.774;  1.661;  0.374;  0.321;  0.411;  0.513
  5500;  0.50;-0.3;  0.389;  0.727;  0.400;  0.776;  1.685;  0.376;  0.340;  0.426;  0.517
  5500;  1.00;-0.3;  0.329;  0.713;  0.398;  0.775;  1.699;  0.377;  0.355;  0.437;  0.522
  5500;  1.50;-0.3;  0.273;  0.703;  0.397;  0.775;  1.711;  0.378;  0.365;  0.446;  0.526
  5500;  2.00;-0.3;  0.227;  0.696;  0.396;  0.775;  1.721;  0.379;  0.374;  0.453;  0.530
  5500;  2.50;-0.3;  0.189;  0.691;  0.396;  0.775;  1.729;  0.380;  0.381;  0.458;  0.533
  5500;  3.00;-0.3;  0.163;  0.688;  0.395;  0.775;  1.736;  0.380;  0.388;  0.463;  0.534
  5500;  3.50;-0.3;  0.149;  0.687;  0.395;  0.775;  1.742;  0.379;  0.394;  0.467;  0.535
  5500;  4.00;-0.3;  0.148;  0.687;  0.396;  0.775;  1.747;  0.379;  0.399;  0.470;  0.535
  5500;  4.50;-0.3;  0.160;  0.689;  0.398;  0.777;  1.751;  0.379;  0.403;  0.473;  0.535
  5500;  5.00;-0.3;  0.184;  0.693;  0.401;  0.780;  1.755;  0.379;  0.406;  0.474;  0.535
  5750;  0.00;-0.3;  0.375;  0.584;  0.325;  0.641;  1.422;  0.316;  0.280;  0.347;  0.440
  5750;  0.50;-0.3;  0.293;  0.592;  0.339;  0.667;  1.459;  0.328;  0.290;  0.359;  0.449
  5750;  1.00;-0.3;  0.229;  0.600;  0.347;  0.681;  1.484;  0.334;  0.301;  0.370;  0.454
  5750;  1.50;-0.3;  0.176;  0.595;  0.349;  0.686;  1.501;  0.337;  0.312;  0.379;  0.458
  5750;  2.00;-0.3;  0.128;  0.593;  0.350;  0.690;  1.515;  0.340;  0.322;  0.387;  0.461
  5750;  2.50;-0.3;  0.086;  0.594;  0.351;  0.694;  1.526;  0.343;  0.329;  0.393;  0.463
  5750;  3.00;-0.3;  0.053;  0.596;  0.352;  0.696;  1.536;  0.344;  0.336;  0.398;  0.465
  5750;  3.50;-0.3;  0.031;  0.598;  0.353;  0.698;  1.544;  0.345;  0.342;  0.402;  0.466
  5750;  4.00;-0.3;  0.020;  0.602;  0.354;  0.699;  1.549;  0.345;  0.348;  0.406;  0.466
  5750;  4.50;-0.3;  0.021;  0.607;  0.355;  0.700;  1.554;  0.345;  0.353;  0.408;  0.466
  5750;  5.00;-0.3;  0.034;  0.614;  0.357;  0.702;  1.557;  0.345;  0.356;  0.409;  0.465
  6000;  0.00;-0.3;  0.339;  0.467;  0.265;  0.529;  1.256;  0.264;  0.246;  0.309;  0.401
  6000;  0.50;-0.3;  0.292;  0.477;  0.275;  0.548;  1.293;  0.273;  0.261;  0.321;  0.405
  6000;  1.00;-0.3;  0.224;  0.491;  0.290;  0.575;  1.326;  0.285;  0.268;  0.331;  0.413
  6000;  1.50;-0.3;  0.154;  0.512;  0.303;  0.599;  1.356;  0.295;  0.275;  0.340;  0.418
  6000;  2.00;-0.3;  0.106;  0.514;  0.307;  0.606;  1.374;  0.299;  0.284;  0.348;  0.420
  6000;  2.50;-0.3;  0.061;  0.518;  0.310;  0.614;  1.390;  0.303;  0.293;  0.354;  0.422
  6000;  3.00;-0.3;  0.020;  0.523;  0.312;  0.619;  1.403;  0.307;  0.300;  0.360;  0.425
  6000;  3.50;-0.3; -0.012;  0.529;  0.315;  0.624;  1.413;  0.309;  0.307;  0.364;  0.426
  6000;  4.00;-0.3; -0.033;  0.536;  0.316;  0.627;  1.421;  0.311;  0.313;  0.368;  0.426
  6000;  4.50;-0.3; -0.044;  0.542;  0.318;  0.629;  1.427;  0.312;  0.319;  0.370;  0.426
  6000;  5.00;-0.3; -0.044;  0.551;  0.319;  0.632;  1.430;  0.312;  0.322;  0.372;  0.425
  6250;  0.50;-0.3;  0.295;  0.380;  0.222;  0.446;  1.083;  0.224;  0.219;  0.269;  0.347
  6250;  1.00;-0.3;  0.251;  0.398;  0.234;  0.468;  1.115;  0.234;  0.228;  0.278;  0.351
  6250;  1.50;-0.3;  0.189;  0.415;  0.248;  0.495;  1.146;  0.247;  0.233;  0.286;  0.358
  6250;  2.00;-0.3;  0.113;  0.447;  0.267;  0.527;  1.181;  0.260;  0.238;  0.295;  0.363
  6250;  2.50;-0.3;  0.068;  0.454;  0.272;  0.537;  1.200;  0.265;  0.247;  0.302;  0.365
  6250;  3.00;-0.3;  0.024;  0.462;  0.276;  0.546;  1.217;  0.270;  0.255;  0.308;  0.367
  6250;  3.50;-0.3; -0.017;  0.471;  0.279;  0.554;  1.231;  0.275;  0.263;  0.313;  0.369
  6250;  4.00;-0.3; -0.049;  0.479;  0.282;  0.559;  1.242;  0.278;  0.270;  0.317;  0.369
  6250;  4.50;-0.3; -0.072;  0.487;  0.284;  0.564;  1.250;  0.280;  0.276;  0.320;  0.370
  6250;  5.00;-0.3; -0.085;  0.496;  0.286;  0.568;  1.256;  0.282;  0.281;  0.322;  0.370
  6500;  0.50;-0.3;  0.279;  0.285;  0.172;  0.352;  0.876;  0.180;  0.173;  0.214;  0.286
  6500;  1.00;-0.3;  0.259;  0.312;  0.185;  0.374;  0.910;  0.189;  0.182;  0.223;  0.287
  6500;  1.50;-0.3;  0.212;  0.337;  0.199;  0.399;  0.940;  0.200;  0.188;  0.230;  0.292
  6500;  2.00;-0.3;  0.148;  0.362;  0.216;  0.431;  0.973;  0.215;  0.191;  0.238;  0.301
  6500;  2.50;-0.3;  0.075;  0.395;  0.234;  0.463;  1.009;  0.229;  0.198;  0.246;  0.303
  6500;  3.00;-0.3;  0.029;  0.406;  0.240;  0.475;  1.029;  0.235;  0.207;  0.253;  0.305
  6500;  3.50;-0.3; -0.016;  0.417;  0.245;  0.486;  1.047;  0.241;  0.215;  0.258;  0.306
  6500;  4.00;-0.3; -0.057;  0.426;  0.249;  0.494;  1.062;  0.246;  0.223;  0.263;  0.308
  6500;  4.50;-0.3; -0.091;  0.436;  0.252;  0.502;  1.073;  0.250;  0.230;  0.267;  0.309
  6500;  5.00;-0.3; -0.117;  0.445;  0.255;  0.507;  1.082;  0.253;  0.236;  0.269;  0.310
  6750;  0.50;-0.3;  0.260;  0.213;  0.130;  0.277;  0.692;  0.147;  0.129;  0.165;  0.238
  6750;  1.00;-0.3;  0.267;  0.229;  0.141;  0.296;  0.725;  0.155;  0.139;  0.173;  0.236
  6750;  1.50;-0.3;  0.242;  0.262;  0.156;  0.320;  0.756;  0.165;  0.145;  0.180;  0.237
  6750;  2.00;-0.3;  0.191;  0.293;  0.171;  0.349;  0.787;  0.178;  0.149;  0.187;  0.244
  6750;  2.50;-0.3;  0.120;  0.324;  0.190;  0.385;  0.824;  0.195;  0.152;  0.195;  0.253
  6750;  3.00;-0.3;  0.054;  0.355;  0.207;  0.414;  0.858;  0.207;  0.161;  0.203;  0.252
  6750;  3.50;-0.3;  0.006;  0.369;  0.213;  0.428;  0.879;  0.215;  0.170;  0.209;  0.254
  6750;  4.00;-0.3; -0.040;  0.380;  0.219;  0.440;  0.898;  0.221;  0.179;  0.214;  0.256
  6750;  4.50;-0.3; -0.084;  0.391;  0.223;  0.450;  0.914;  0.227;  0.187;  0.219;  0.258
  6750;  5.00;-0.3; -0.122;  0.401;  0.227;  0.459;  0.926;  0.231;  0.194;  0.222;  0.260
  7000;  0.50;-0.3;  0.213;  0.150;  0.089;  0.201;  0.554;  0.111;  0.103;  0.132;  0.204
  7000;  1.00;-0.3;  0.239;  0.160;  0.099;  0.216;  0.585;  0.118;  0.110;  0.138;  0.201
  7000;  1.50;-0.3;  0.243;  0.182;  0.110;  0.236;  0.614;  0.126;  0.117;  0.145;  0.200
  7000;  2.00;-0.3;  0.213;  0.220;  0.126;  0.263;  0.644;  0.137;  0.121;  0.152;  0.202
  7000;  2.50;-0.3;  0.155;  0.256;  0.143;  0.295;  0.678;  0.153;  0.124;  0.159;  0.210
  7000;  3.00;-0.3;  0.078;  0.291;  0.163;  0.334;  0.717;  0.171;  0.129;  0.167;  0.219
  7000;  3.50;-0.3;  0.017;  0.318;  0.177;  0.359;  0.748;  0.182;  0.139;  0.174;  0.216
  7000;  4.00;-0.3; -0.034;  0.333;  0.184;  0.375;  0.771;  0.191;  0.148;  0.180;  0.219
  7000;  4.50;-0.3; -0.084;  0.345;  0.191;  0.389;  0.791;  0.198;  0.157;  0.185;  0.221
  7000;  5.00;-0.3; -0.131;  0.357;  0.196;  0.400;  0.808;  0.205;  0.165;  0.189;  0.224
  7250;  0.50;-0.3;  0.197;  0.116;  0.055;  0.135;  0.463;  0.081;  0.093;  0.115;  0.187
  7250;  1.00;-0.3;  0.241;  0.112;  0.060;  0.144;  0.490;  0.085;  0.098;  0.120;  0.183
  7250;  1.50;-0.3;  0.264;  0.129;  0.069;  0.160;  0.515;  0.091;  0.102;  0.125;  0.181
  7250;  2.00;-0.3;  0.263;  0.156;  0.081;  0.181;  0.541;  0.100;  0.107;  0.131;  0.180
  7250;  2.50;-0.3;  0.226;  0.198;  0.097;  0.211;  0.573;  0.114;  0.111;  0.138;  0.183
  7250;  3.00;-0.3;  0.161;  0.236;  0.116;  0.247;  0.611;  0.131;  0.116;  0.146;  0.192
  7250;  3.50;-0.3;  0.080;  0.273;  0.137;  0.287;  0.652;  0.150;  0.122;  0.154;  0.198
  7250;  4.00;-0.3;  0.024;  0.295;  0.148;  0.308;  0.679;  0.160;  0.132;  0.159;  0.197
  7250;  4.50;-0.3; -0.031;  0.311;  0.156;  0.326;  0.703;  0.169;  0.141;  0.165;  0.200
  7250;  5.00;-0.3; -0.083;  0.324;  0.163;  0.340;  0.723;  0.177;  0.151;  0.170;  0.202
  7500;  0.50;-0.3;  0.149;  0.118;  0.049;  0.124;  0.398;  0.076;  0.082;  0.098;  0.165
  7500;  1.00;-0.3;  0.216;  0.075;  0.041;  0.116;  0.416;  0.075;  0.085;  0.102;  0.163
  7500;  1.50;-0.3;  0.255;  0.086;  0.048;  0.126;  0.436;  0.079;  0.088;  0.106;  0.160
  7500;  2.00;-0.3;  0.274;  0.109;  0.057;  0.143;  0.458;  0.086;  0.090;  0.111;  0.159
  7500;  2.50;-0.3;  0.269;  0.140;  0.069;  0.165;  0.483;  0.096;  0.094;  0.116;  0.158
  7500;  3.00;-0.3;  0.224;  0.184;  0.087;  0.197;  0.517;  0.111;  0.099;  0.123;  0.161
  7500;  3.50;-0.3;  0.149;  0.223;  0.107;  0.237;  0.559;  0.130;  0.105;  0.132;  0.170
  7500;  4.00;-0.3;  0.070;  0.258;  0.126;  0.274;  0.597;  0.147;  0.113;  0.139;  0.174
  7500;  4.50;-0.3;  0.014;  0.278;  0.136;  0.294;  0.623;  0.158;  0.122;  0.145;  0.175
  7500;  5.00;-0.3; -0.044;  0.293;  0.144;  0.312;  0.648;  0.167;  0.133;  0.150;  0.178
  7750;  1.00;-0.3;  0.136;  0.045;  0.038;  0.113;  0.360;  0.075;  0.073;  0.087;  0.148
  7750;  1.50;-0.3;  0.191;  0.041;  0.039;  0.114;  0.374;  0.076;  0.073;  0.090;  0.144
  7750;  2.00;-0.3;  0.226;  0.060;  0.046;  0.126;  0.391;  0.081;  0.074;  0.093;  0.142
  7750;  2.50;-0.3;  0.239;  0.087;  0.055;  0.144;  0.412;  0.089;  0.076;  0.098;  0.142
  7750;  3.00;-0.3;  0.225;  0.122;  0.068;  0.168;  0.437;  0.100;  0.080;  0.102;  0.142
  7750;  3.50;-0.3;  0.168;  0.168;  0.086;  0.203;  0.474;  0.117;  0.086;  0.110;  0.145
  7750;  4.00;-0.3;  0.084;  0.208;  0.107;  0.244;  0.517;  0.137;  0.093;  0.119;  0.153
  7750;  4.50;-0.3;  0.009;  0.237;  0.123;  0.275;  0.551;  0.152;  0.102;  0.125;  0.157
  7750;  5.00;-0.3; -0.051;  0.256;  0.133;  0.296;  0.578;  0.163;  0.112;  0.130;  0.158
  8000;  1.00;-0.3;  0.042;  0.037;  0.033;  0.098;  0.315;  0.065;  0.066;  0.073;  0.129
  8000;  1.50;-0.3;  0.118;  0.007;  0.023;  0.082;  0.315;  0.059;  0.064;  0.075;  0.125
  8000;  2.00;-0.3;  0.166;  0.018;  0.026;  0.087;  0.327;  0.061;  0.063;  0.077;  0.123
  8000;  2.50;-0.3;  0.193;  0.043;  0.034;  0.101;  0.343;  0.067;  0.063;  0.080;  0.122
  8000;  3.00;-0.3;  0.199;  0.074;  0.043;  0.119;  0.363;  0.076;  0.065;  0.084;  0.122
  8000;  3.50;-0.3;  0.176;  0.113;  0.057;  0.145;  0.389;  0.088;  0.069;  0.088;  0.121
  8000;  4.00;-0.3;  0.104;  0.159;  0.076;  0.183;  0.428;  0.107;  0.076;  0.096;  0.124
  8000;  4.50;-0.3;  0.014;  0.197;  0.097;  0.224;  0.470;  0.127;  0.085;  0.104;  0.130
  8000;  5.00;-0.3; -0.054;  0.222;  0.110;  0.250;  0.501;  0.140;  0.095;  0.110;  0.133
  8250;  1.00;-0.3; -0.073;  0.041;  0.040;  0.097;  0.294;  0.058;  0.065;  0.065;  0.112
  8250;  1.50;-0.3;  0.029; -0.013;  0.013;  0.053;  0.270;  0.040;  0.061;  0.063;  0.106
  8250;  2.00;-0.3;  0.089; -0.014;  0.011;  0.050;  0.274;  0.039;  0.058;  0.064;  0.103
  8250;  2.50;-0.3;  0.128;  0.006;  0.015;  0.058;  0.284;  0.042;  0.056;  0.067;  0.102
  8250;  3.00;-0.3;  0.148;  0.035;  0.023;  0.072;  0.300;  0.049;  0.057;  0.070;  0.102
  8250;  3.50;-0.3;  0.145;  0.069;  0.033;  0.092;  0.320;  0.059;  0.059;  0.074;  0.102
  8250;  4.00;-0.3;  0.107;  0.112;  0.047;  0.120;  0.346;  0.073;  0.064;  0.077;  0.101
  8250;  4.50;-0.3;  0.021;  0.157;  0.068;  0.161;  0.387;  0.093;  0.073;  0.085;  0.103
  8250;  5.00;-0.3; -0.065;  0.190;  0.085;  0.196;  0.425;  0.110;  0.082;  0.092;  0.108
  8500;  1.00;-0.3; -0.183;  0.049;  0.060;  0.132;  0.286;  0.072;  0.062;  0.060;  0.099
  8500;  1.50;-0.3; -0.047; -0.018;  0.019;  0.060;  0.229;  0.041;  0.053;  0.048;  0.082
  8500;  2.00;-0.3;  0.024; -0.031;  0.011;  0.045;  0.225;  0.035;  0.049;  0.048;  0.079
  8500;  2.50;-0.3;  0.072; -0.018;  0.012;  0.048;  0.230;  0.036;  0.046;  0.049;  0.077
  8500;  3.00;-0.3;  0.102;  0.008;  0.017;  0.058;  0.241;  0.041;  0.044;  0.051;  0.077
  8500;  3.50;-0.3;  0.113;  0.040;  0.024;  0.073;  0.255;  0.049;  0.045;  0.055;  0.077
  8500;  4.00;-0.3;  0.099;  0.076;  0.034;  0.094;  0.275;  0.060;  0.048;  0.058;  0.078
  8500;  4.50;-0.3;  0.043;  0.123;  0.051;  0.125;  0.302;  0.075;  0.054;  0.061;  0.075
  8500;  5.00;-0.3; -0.051;  0.164;  0.070;  0.165;  0.343;  0.094;  0.064;  0.068;  0.076
  8750;  1.50;-0.3; -0.117; -0.019;  0.029;  0.078;  0.184;  0.049;  0.040;  0.031;  0.058
  8750;  2.00;-0.3; -0.037; -0.042;  0.014;  0.053;  0.170;  0.038;  0.035;  0.029;  0.054
  8750;  2.50;-0.3;  0.019; -0.036;  0.012;  0.049;  0.170;  0.037;  0.031;  0.030;  0.052
  8750;  3.00;-0.3;  0.058; -0.014;  0.015;  0.054;  0.177;  0.039;  0.028;  0.031;  0.052
  8750;  3.50;-0.3;  0.079;  0.016;  0.021;  0.066;  0.187;  0.045;  0.027;  0.034;  0.052
  8750;  4.00;-0.3;  0.078;  0.052;  0.028;  0.083;  0.202;  0.054;  0.029;  0.037;  0.053
  8750;  4.50;-0.3;  0.050;  0.091;  0.038;  0.104;  0.221;  0.066;  0.033;  0.040;  0.053
  8750;  5.00;-0.3; -0.025;  0.137;  0.056;  0.138;  0.250;  0.082;  0.040;  0.042;  0.049
  9000;  1.50;-0.3; -0.184; -0.022;  0.031;  0.076;  0.135;  0.045;  0.031;  0.016;  0.039
  9000;  2.00;-0.3; -0.096; -0.051;  0.011;  0.042;  0.111;  0.030;  0.024;  0.012;  0.031
  9000;  2.50;-0.3; -0.035; -0.052;  0.006;  0.032;  0.107;  0.026;  0.019;  0.012;  0.029
  9000;  3.00;-0.3;  0.011; -0.035;  0.006;  0.033;  0.110;  0.027;  0.016;  0.014;  0.029
  9000;  3.50;-0.3;  0.040; -0.008;  0.010;  0.041;  0.117;  0.031;  0.014;  0.016;  0.029
  9000;  4.00;-0.3;  0.050;  0.026;  0.015;  0.054;  0.128;  0.039;  0.015;  0.018;  0.030
  9000;  4.50;-0.3;  0.035;  0.064;  0.023;  0.072;  0.143;  0.049;  0.018;  0.021;  0.031
  9000;  5.00;-0.3; -0.003;  0.102;  0.032;  0.093;  0.163;  0.061;  0.024;  0.025;  0.032
  9250;  2.00;-0.3; -0.150; -0.057;  0.000;  0.006;  0.064;  0.006;  0.023;  0.007;  0.020
  9250;  2.50;-0.3; -0.085; -0.063; -0.009; -0.009;  0.056; -0.001;  0.018;  0.006;  0.018
  9250;  3.00;-0.3; -0.035; -0.051; -0.010; -0.012;  0.056; -0.001;  0.014;  0.007;  0.017
  9250;  3.50;-0.3;  0.000; -0.027; -0.008; -0.007;  0.060;  0.002;  0.011;  0.009;  0.017
  9250;  4.00;-0.3;  0.018;  0.004; -0.004;  0.003;  0.068;  0.008;  0.011;  0.011;  0.018
  9250;  4.50;-0.3;  0.014;  0.041;  0.001;  0.018;  0.079;  0.016;  0.013;  0.014;  0.019
  9250;  5.00;-0.3; -0.015;  0.080;  0.009;  0.036;  0.095;  0.027;  0.017;  0.017;  0.020
  9500;  2.00;-0.3; -0.191; -0.060; -0.004; -0.008;  0.012; -0.004;  0.020;  0.000;  0.007
  9500;  2.50;-0.3; -0.124; -0.070; -0.014; -0.026;  0.000; -0.012;  0.014; -0.002;  0.004
  9500;  3.00;-0.3; -0.072; -0.062; -0.018; -0.032; -0.002; -0.014;  0.010; -0.001;  0.003
  9500;  3.50;-0.3; -0.031; -0.042; -0.018; -0.030;  0.000; -0.013;  0.007;  0.001;  0.004
  9500;  4.00;-0.3; -0.005; -0.013; -0.015; -0.023;  0.004; -0.008;  0.005;  0.002;  0.004
  9500;  4.50;-0.3;  0.000;  0.023; -0.011; -0.012;  0.012; -0.001;  0.006;  0.004;  0.005
  9500;  5.00;-0.3; -0.020;  0.063; -0.005;  0.003;  0.024;  0.008;  0.009;  0.007;  0.006
  9750;  2.00;-0.3; -0.229; -0.061; -0.004; -0.013; -0.029; -0.008;  0.013; -0.009; -0.005
  9750;  2.50;-0.3; -0.160; -0.073; -0.016; -0.033; -0.044; -0.017;  0.008; -0.012; -0.010
  9750;  3.00;-0.3; -0.107; -0.069; -0.021; -0.042; -0.048; -0.021;  0.003; -0.011; -0.010
  9750;  3.50;-0.3; -0.064; -0.052; -0.022; -0.042; -0.048; -0.020; -0.001; -0.010; -0.010
  9750;  4.00;-0.3; -0.033; -0.025; -0.021; -0.038; -0.045; -0.017; -0.003; -0.009; -0.010
  9750;  4.50;-0.3; -0.019;  0.008; -0.018; -0.029; -0.040; -0.011; -0.002; -0.007; -0.009
  9750;  5.00;-0.3; -0.029;  0.047; -0.013; -0.017; -0.032; -0.003;  0.000; -0.004; -0.008
 10000;  2.00;-0.3; -0.279; -0.065; -0.003; -0.012; -0.058; -0.009;  0.006; -0.018; -0.017
 10000;  2.50;-0.3; -0.209; -0.079; -0.015; -0.034; -0.075; -0.019;  0.001; -0.021; -0.023
 10000;  3.00;-0.3; -0.154; -0.077; -0.021; -0.044; -0.081; -0.023; -0.004; -0.021; -0.024
 10000;  3.50;-0.3; -0.110; -0.063; -0.023; -0.047; -0.082; -0.024; -0.008; -0.020; -0.024
 10000;  4.00;-0.3; -0.076; -0.039; -0.023; -0.044; -0.081; -0.021; -0.010; -0.019; -0.023
 10000;  4.50;-0.3; -0.057; -0.008; -0.021; -0.038; -0.078; -0.017; -0.011; -0.017; -0.022
 10000;  5.00;-0.3; -0.060;  0.030; -0.018; -0.027; -0.072; -0.010; -0.009; -0.015; -0.021
 10500;  2.00;-0.3; -0.373; -0.075; -0.001; -0.010; -0.104; -0.009; -0.003; -0.032; -0.037
 10500;  2.50;-0.3; -0.300; -0.091; -0.013; -0.033; -0.124; -0.020; -0.009; -0.037; -0.044
 10500;  3.00;-0.3; -0.245; -0.092; -0.020; -0.046; -0.132; -0.025; -0.014; -0.038; -0.046
 10500;  3.50;-0.3; -0.200; -0.083; -0.024; -0.051; -0.136; -0.027; -0.017; -0.037; -0.046
 10500;  4.00;-0.3; -0.163; -0.065; -0.026; -0.052; -0.136; -0.026; -0.020; -0.036; -0.045
 10500;  4.50;-0.3; -0.137; -0.038; -0.026; -0.049; -0.136; -0.023; -0.021; -0.035; -0.045
 10500;  5.00;-0.3; -0.127; -0.003; -0.025; -0.043; -0.134; -0.018; -0.021; -0.033; -0.044
 11000;  2.50;-0.3; -0.378; -0.104; -0.014; -0.037; -0.182; -0.023; -0.020; -0.053; -0.067
 11000;  3.00;-0.3; -0.323; -0.106; -0.022; -0.050; -0.192; -0.028; -0.025; -0.055; -0.070
 11000;  3.50;-0.3; -0.278; -0.100; -0.026; -0.057; -0.197; -0.031; -0.028; -0.055; -0.071
 11000;  4.00;-0.3; -0.241; -0.085; -0.029; -0.060; -0.199; -0.031; -0.031; -0.054; -0.070
 11000;  4.50;-0.3; -0.212; -0.063; -0.030; -0.059; -0.200; -0.029; -0.032; -0.053; -0.069
 11000;  5.00;-0.3; -0.195; -0.033; -0.030; -0.056; -0.200; -0.026; -0.033; -0.052; -0.069
 11500;  2.50;-0.3; -0.467; -0.124; -0.018; -0.045; -0.253; -0.028; -0.035; -0.073; -0.092
 11500;  3.00;-0.3; -0.412; -0.127; -0.025; -0.059; -0.264; -0.034; -0.039; -0.075; -0.096
 11500;  3.50;-0.3; -0.369; -0.122; -0.030; -0.066; -0.269; -0.037; -0.042; -0.075; -0.097
 11500;  4.00;-0.3; -0.332; -0.110; -0.033; -0.070; -0.273; -0.037; -0.045; -0.075; -0.097
 11500;  4.50;-0.3; -0.303; -0.092; -0.035; -0.071; -0.274; -0.036; -0.046; -0.074; -0.096
 11500;  5.00;-0.3; -0.284; -0.065; -0.036; -0.069; -0.276; -0.034; -0.047; -0.073; -0.095
 12000;  2.50;-0.3; -0.462; -0.112; -0.032; -0.068; -0.258; -0.037; -0.026; -0.063; -0.082
 12000;  3.00;-0.3; -0.410; -0.116; -0.039; -0.081; -0.269; -0.043; -0.030; -0.065; -0.086
 12000;  3.50;-0.3; -0.367; -0.112; -0.043; -0.089; -0.276; -0.046; -0.033; -0.066; -0.088
 12000;  4.00;-0.3; -0.331; -0.102; -0.047; -0.093; -0.280; -0.047; -0.036; -0.066; -0.088
 12000;  4.50;-0.3; -0.302; -0.086; -0.049; -0.095; -0.282; -0.046; -0.037; -0.065; -0.087
 12000;  5.00;-0.3; -0.281; -0.063; -0.051; -0.095; -0.284; -0.044; -0.038; -0.064; -0.086
 12500;  2.50;-0.3; -0.507; -0.120; -0.036; -0.078; -0.292; -0.042; -0.030; -0.071; -0.092
 12500;  3.00;-0.3; -0.456; -0.124; -0.043; -0.090; -0.303; -0.048; -0.035; -0.073; -0.097
 12500;  3.50;-0.3; -0.415; -0.121; -0.047; -0.098; -0.309; -0.051; -0.038; -0.074; -0.098
 12500;  4.00;-0.3; -0.381; -0.111; -0.050; -0.102; -0.314; -0.052; -0.040; -0.074; -0.099
 12500;  4.50;-0.3; -0.352; -0.097; -0.053; -0.105; -0.317; -0.052; -0.042; -0.074; -0.099
 12500;  5.00;-0.3; -0.331; -0.077; -0.055; -0.105; -0.320; -0.050; -0.042; -0.073; -0.098
 13000;  2.50;-0.3; -0.546; -0.128; -0.040; -0.088; -0.325; -0.047; -0.035; -0.078; -0.103
 13000;  3.00;-0.3; -0.497; -0.132; -0.047; -0.099; -0.335; -0.053; -0.039; -0.080; -0.107
 13000;  3.50;-0.3; -0.458; -0.129; -0.051; -0.106; -0.341; -0.056; -0.042; -0.081; -0.109
 13000;  4.00;-0.3; -0.425; -0.120; -0.054; -0.111; -0.345; -0.057; -0.044; -0.082; -0.109
 13000;  4.50;-0.3; -0.398; -0.107; -0.056; -0.113; -0.349; -0.057; -0.045; -0.081; -0.109
 13000;  5.00;-0.3; -0.377; -0.089; -0.059; -0.115; -0.352; -0.056; -0.046; -0.081; -0.109
 14000;  2.00;-0.3; -0.698; -0.120; -0.035; -0.081; -0.359; -0.046; -0.037; -0.085; -0.112
 14000;  2.50;-0.3; -0.616; -0.142; -0.048; -0.106; -0.384; -0.057; -0.043; -0.092; -0.122
 14000;  3.00;-0.3; -0.567; -0.147; -0.055; -0.117; -0.393; -0.062; -0.046; -0.094; -0.125
